TransactionID,CustomerID,Date,ProductID,Price_x,Qty,TotalAmount,StoreID,Age,Gender,Marital Status,Income,Product Name,Price_y,StoreName,GroupStore,Type,Latitude,Longitude,Cluster
TR11369,328,2022-01-01,P3,7500,4,30000,12,36,0,Married,10.53,Crackers,7500,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,2
TR16356,165,2022-01-01,P9,10000,7,70000,1,44,1,Married,14.58,Yoghurt,10000,Prima Tendean,Prima,Modern Trade,6.2,106.816666,2
TR1984,183,2022-01-01,P1,8800,4,35200,4,27,1,Single,0.18,Choco Bar,8800,Gita Ginara,Gita,General Trade,6.966667,110.416664,0
TR35256,160,2022-01-01,P1,8800,7,61600,4,48,1,Married,12.57,Choco Bar,8800,Gita Ginara,Gita,General Trade,6.966667,110.416664,1
TR41231,386,2022-01-01,P9,10000,1,10000,4,33,0,Married,6.95,Yoghurt,10000,Gita Ginara,Gita,General Trade,6.966667,110.416664,2
TR51675,283,2022-01-01,P10,15000,1,15000,5,19,1,Single,0.0,Cheese Stick,15000,Bonafid,Gita,General Trade,7.250445,112.768845,0
TR54287,51,2022-01-01,P8,16000,2,32000,2,36,0,Married,7.95,Oat,16000,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,2
TR67455,49,2022-01-01,P5,4200,3,12600,13,44,1,Married,13.48,Thai Tea,4200,Buana,Buana,General Trade,1.26916,116.825264,2
TR73041,222,2022-01-01,P9,10000,6,60000,4,45,0,Married,15.03,Yoghurt,10000,Gita Ginara,Gita,General Trade,6.966667,110.416664,2
TR7596,270,2022-01-01,P7,9400,2,18800,14,49,1,Married,8.81,Coffee Candy,9400,Priangan,Priangan,Modern Trade,5.45,105.26667,1
TR76340,287,2022-01-01,P4,12000,4,48000,12,36,0,Single,3.7,Potato Chip,12000,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,2
TR97336,233,2022-01-01,P7,9400,2,18800,12,43,1,Married,5.69,Coffee Candy,9400,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,2
TR99839,123,2022-01-01,P2,3200,6,19200,1,34,0,Married,4.36,Ginger Candy ,3200,Prima Tendean,Prima,Modern Trade,6.2,106.816666,2
TR14355,203,2022-01-02,P3,7500,4,30000,10,53,0,Married,17.2,Crackers,7500,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,1
TR16534,421,2022-01-02,P3,7500,2,15000,14,35,0,Married,9.01,Crackers,7500,Priangan,Priangan,Modern Trade,5.45,105.26667,2
TR2045,32,2022-01-02,P7,9400,4,37600,5,34,0,Married,10.96,Coffee Candy,9400,Bonafid,Gita,General Trade,7.250445,112.768845,2
TR20925,159,2022-01-02,P10,15000,2,30000,13,53,1,Married,13.65,Cheese Stick,15000,Buana,Buana,General Trade,1.26916,116.825264,1
TR26678,321,2022-01-02,P6,18000,3,54000,12,45,0,Married,8.03,Cashew,18000,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,2
TR29436,335,2022-01-02,P6,18000,3,54000,3,29,1,Single,4.74,Cashew,18000,Prima Kota,Prima,Modern Trade,7.797068,110.370529,0
TR30993,14,2022-01-02,P10,15000,2,30000,6,58,1,Married,10.18,Cheese Stick,15000,Lingga,Lingga,Modern Trade,5.135399,119.42379,1
TR33449,18,2022-01-02,P6,18000,2,36000,9,47,0,Married,13.6,Cashew,18000,Lingga,Lingga,Modern Trade,3.654703,128.190643,1
TR34291,333,2022-01-02,P7,9400,2,18800,7,47,0,Married,17.99,Coffee Candy,9400,Buana Indah,Buana,General Trade,3.316694,114.590111,1
TR3533,24,2022-01-02,P6,18000,3,54000,10,37,0,Married,9.53,Cashew,18000,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,2
TR46701,48,2022-01-02,P2,3200,6,19200,9,32,0,Married,10.62,Ginger Candy ,3200,Lingga,Lingga,Modern Trade,3.654703,128.190643,2
TR48742,87,2022-01-02,P5,4200,2,8400,3,44,1,Married,9.57,Thai Tea,4200,Prima Kota,Prima,Modern Trade,7.797068,110.370529,2
TR63499,118,2022-01-02,P1,8800,7,61600,14,20,1,Single,3.28,Choco Bar,8800,Priangan,Priangan,Modern Trade,5.45,105.26667,0
